__v,_id,age,brand,catId,collectionn,color,components,components_en,composition,composition_en,createdAt,description,dimensions,email,images,item_code,name,ordering,origine,product_cat,product_manufacturer_code,properties,properties_en,regular_price,retail_unite_of_meassure,role,sale_price,stock_status,tax_class,updatedAt,vendor
0,62e0f5c768774f0af1bda280,Grua,TIMBERLAND,1.1.1,4,FFFFFF,,,"Lëkurë sintetike, materiale ReBOTL",Upper made with ReBOTL fabric and synthetic leather  100% PET laces  ReBOTL fabric lining,2022-07-27T08:22:32.021Z,DelphivilleTextileSneaker,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/auv0mjf9v-5543650-57_1.jpg""]",A219CW,Atlete Timberland Delphiville,10,VN,Këpucë-Atlete,A219CW,Atlete me lëkurë sintetike dhe material të qëndrueshëm ReBOTL që përmban së paku 50% plastikë të recikluar. Ka shtresë me densitet të dyfishtë dhe teknologji OrthoLite,Upper made with synthetic leather and durable ReBOTL fabric containing at least 50% recycled plastic  Durable ReBOTL fabric lining made with at least 50% recycled plastic  Dual-density lightweight EVA midsole cushioning  Lightweight and breathable OrthoLi,99.1,COP,Vendor,69.3,,18,2022-08-01T11:09:39.163Z,17
0,62e0f5c768774f0af1bda281,Burrë,TIMBERLAND,1.1.1,4,090A24,,,Përbëhen nga së paku 50% materiale të recikluara,At least 50% recycled plastic,2022-07-27T08:22:32.024Z,ADV 2.0 GREEN KNIT OX NVY,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/ox812pcn1-5543651-39_1.jpg""]",A2QKEM,Atlete Adventure 2,10,KH,Këpucë-Atlete,A2QKEM,"Atlete nga Timberland me stil për mbathje të përditshme, kanë kualitet të lartë dhe janë të qëndrueshme. Përbëhen nga materiale të recikluara dhe komoditeti është i siguruar!",Upper and lining in ReBOTL fabric containing at least 50% recycled plastic . Synthetic leather side panels . 100% recycled PET laces . EVA-blend foam footbed for cushioning . Rubber outsole for grip,99.1,COP,Vendor,69.3,,18,2022-08-01T11:09:39.163Z,17
0,62e0f5c768774f0af1bda282,Burrë,TIMBERLAND,1.1.2,4,5C4949,,,Përbëhen nga së paku 50% materiale të recikluara,At least 50% recycled plastic,2022-07-27T08:22:32.025Z,ADV 2.0 GREEN KNIT OX OLV,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/i2mqqjrdu-37033731-08_1-732x1024.jpg""]",A2QK3M,Atlete Adventure 2,10,KH,Këpucë-Atlete,A2QK3M,"Atlete nga Timberland me stil për mbathje të përditshme, kanë kualitet të lartë dhe janë të qëndrueshme. Përbëhen nga materiale të recikluara dhe komoditeti është i siguruar!",Upper and lining in ReBOTL fabric containing at least 50% recycled plastic . Synthetic leather side panels . 100% recycled PET laces . EVA-blend foam footbed for cushioning . Rubber outsole for grip,99,COP,Vendor,69.3,,18,2022-08-01T11:09:39.163Z,17
0,62e0f5c768774f0af1bda283,Burrë,TIMBERLAND,1.1.2,4,FFFFFF,,,"Tekstil, gomë dhe materiale të recikluara","Textil, Rubber and recycled materials",2022-07-27T08:22:32.025Z,ADVENTURE 2.0,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/vqf1aie7x-50475872-001_1.jpg""]",A2QJRM,Atlete Adventure 2,10,KH,Këpucë-Atlete,A2QJRM,"Atlete me së paku 50% plastikë të recikluar, dhe panele anësore sintetike. Gjithashtu edhe lidhëset kanë përmbajtje poliesteri 100% të recikluar","Textil, Rubber and recycled materials",99,COP,Vendor,69.3,,18,2022-08-01T11:09:39.163Z,17
0,62e0f5c768774f0af1bda284,Burrë,TIMBERLAND,1.1.5,1,276BA9,,,"98% pambuk organik, 2% elastan","98% Organic cotton, 2% elastane",2022-07-27T08:22:32.025Z,Sq-L core indigo denim MID INDIGO,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/iwxl3prl0-rpl001806_1.jpg""]",A2C9B32-A11,Xhinse Denim,2,IN,Veshje-Xhinse,A2C9B32,"Xhinse denim, me 5 xhepa. Mbërthehen me buton dhe zinxhir. Kanë logo të vendosur në pjesën e pasme të belit.","Denim jeans, with 5 pockets. Fastened with button and chain. They have a logo placed on the back of the waist.",89,COP,Vendor,71.2,,18,2022-08-01T11:09:39.163Z,17
0,62e0f5c768774f0af1bda285,Fëmijë (Vajzë),TIMBERLAND,1.1.6,4,F28383,,,"Lëkurë sintetike, shtresë EVA",Lightweight and water-friendly synthetic leather upper  Adjustable buckle closure  Compression-molded EVA midsole  Rubber outsole,2022-07-27T08:22:32.025Z,CASTLE ISLAND 2STRP MDPNK,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/auv0mjf9v-5543650-57_1.jpg""]",A427RM,Sandale me rripa,10,KH,Këpucë-Sandale,A427RM,Sandale që shtrëngohen me dy rripa dhe përmbajnë lëkurë sintetike me peshë të lehtë,Lightweight synthetic leather upper that's safe to get wet  Backstrap and two front straps with adjustable buckle closures  Midsole of compression-molded EVA-blend foam for cushioning  Rubber outsole for grip,49,COP,Vendor,24.5,,18,2022-08-01T11:09:39.163Z,17
0,62e0f5c768774f0af1bda286,Burrë,TIMBERLAND,1.1.7,4,E3DEDE-AE7045,,,"Lëkurë, lidhëse të lëkurës, shtresë EVA",Upper made with Better Leather from an LWG Silver-rated tannery and fabric  Traditional handsewn construction  Leather laces  EVA midsole  Rubber outsole  Foam comfort footbed,2022-07-27T08:22:32.026Z,ATLNBRKF/LBOATLTBEI/DKBRN,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/ox812pcn1-5543651-39_1.jpg""]",A2QGXM,Këpucë me lidhëse,10,PT,Këpucë-Këpucë,A2QGXM,Këpucë me lidhëse dhe përmbajtje të lëkurës së krijuar nga praktikat moderne ekologjike. Ka logo Timberland dhe lidhëse të lëkurës për stil autentik. Po ashtu siguron shtresë të rehatshme të këmbës,"Upper made with premium nubuck Better Leather from a sustainable tannery rated Silver for its water, energy and waste management practices, and fabric  Traditional, handsewn construction for genuine Timberland quality and authenticity  Leather laces for a",149,COP,Vendor,104.3,,18,2022-08-01T11:09:39.164Z,17
0,62e0f5c768774f0af1bda287,Grua,TIMBERLAND,1.1.8,4,808080-3AAEDB-000000-D86E6E,,,"Lëkurë Better Leather, material ReBOTL, shtresë EVA, gomë",TimberDry waterproof membrane  Upper made with waterproof Better Leather from an LWG Silver-rated tannery and ReBOTL fabric  Toe bumper and heel piece made from climbing rubber  ReBOTL fabric lining  Compression-molded EVA midsole  Rubber lug outsole  Tim,2022-07-27T08:22:32.026Z,GARRISON TRL LOW WP WHI,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/i2mqqjrdu-37033731-08_1-732x1024.jpg""]",A2AR8M,Atlete shumëngjyrëshe Timberland Garrison,10,VN,Këpucë-Atlete,A2AR8M,"Atlete me shtresë të jashtme kamoshi që është rezistente ndaj ujit dhe lëkurë Better Leather që bëhet nga praktikat moderne ekologjike. Ka material ReBOTL që përmban të paktën 50% plastikë të recikluar, membramë rezistente ndaj ujit TimberDry dhe teknolog","Upper made with waterproof suede Better Leather from a sustainable tannery rated Silver for its water, energy, and waste management practices, and ReBOTL fabric containing at least 50% recycled plastic  TimberDry waterproof membrane made with 50% recycled",129,COP,Vendor,64.5,,18,2022-08-01T11:09:39.164Z,17
0,62e0f5c768774f0af1bda288,Burrë,TIMBERLAND,1.1.9,4,D8D2D2,,,"Fibra tençeli, shtresë EVA, gomë",Upper material made with Tencel Lyocell fibers with Refibra technology  Ground-contact EVA midsole  Rubber outsole  Foam comfort footbed,2022-07-27T08:22:32.026Z,TrueCloud EK+ KnitChkka,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/vqf1aie7x-50475872-001_1.jpg""]",A24H6M,Atlete Timberland Truecloud EK+,10,PH,Këpucë-Atlete,A24H6M,Atlete me shtresë Tencel dhe fibra me teknologji Refibra,Upper material made with Tencel Lyocell fibers with Refibra technology  Ground-contact EVA midsole  Rubber outsole  Foam comfort footbed,129,COP,Vendor,64.5,,18,2022-08-01T11:09:39.164Z,17
0,62e0f5c768774f0af1bda289,Burrë,TIMBERLAND,1.1.10,1,646060,,,Me material 100% pambuk organik. Logo të qëndisur në pjesën e gjoksit. Regular fit.,"""Made with 100% organic cotton Embroidered Timberland tree logo on the chest Contrasting back-neck piping Centre back length: 70.5 cm / 27.75"""" Regular fit""",2022-07-27T08:22:32.026Z,Basic Polo CASTLEROCK,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/iwxl3prl0-rpl001806_1.jpg""]",A26N4-033,T bluzë me logo,4,TR,Veshje-T bluzë,A26N4,"T bluzë polo, ideale për t?u dukur bukur gjatë ditëve të ngrohta.","Our Millers River pique polo shirts are casual but polished ? the perfect shirt for looking good in warmer weather. And because we're committed to responsible sourcing, they're made with organically grown cotton.",64,COP,Vendor,51.2,,18,2022-08-01T11:09:39.164Z,17
