item_code,variant,variant_desctiption,variant_order,vendor,stock_quantity
06830653433M,0,“x”,1,11,0
06847012745A,0,“x”,1,11,2
068503643810A,0,“x”,1,11,2
068595410612A,0,“x”,1,11,1
068595413810A,0,“x”,1,11,1
068483462035/38,0,“x”,1,11,0
068432480212A,0,“x”,1,11,3
06851900638A,0,“x”,1,11,0
068518463823M,0,“x”,1,11,0
06850453174A,0,“x”,1,11,1
068404207312M,0,“x”,1,11,0
68609111526,0,“x”,1,11,0
06840968646A,0,“x”,1,11,3
068404207318M,0,“x”,1,11,0
009911910910A,0,“x”,1,11,0
00977584296M,0,“x”,1,11,0
06840991386A,0,“x”,1,11,5
068328844223M,0,“x”,1,11,1
06760319606A,0,“x”,1,11,0
06840951378A,0,“x”,1,11,1
068691231723M,0,“x”,1,11,0
06852466388A,0,“x”,1,11,1
06840986388A,0,“x”,1,11,1
068519254214A,0,“x”,1,11,0
06843211718A,0,“x”,1,11,1
068590763212A,0,“x”,1,11,0
06755582104A,0,“x”,1,11,0
06851871716M,0,“x”,1,11,2
06753781464A,0,“x”,1,11,2
068430910912A,0,“x”,1,11,4
06756381386A,0,“x”,1,11,0
06847171465A,0,“x”,1,11,0
067562213810A,0,“x”,1,11,0
06851013413A,0,“x”,1,11,1
06840958665A,0,“x”,1,11,1
06753791457A,0,“x”,1,11,0
1253338-46,5,“x”,5,12,4
1333198-98,4,“x”,4,12,1
0083712-24,1,“x”,1,12,4
1463464-74,2,“x”,2,12,0
0439770-11,42,“x”,5,12,0
7122219-05,5,“x”,5,12,10
7122219-13,5,“x”,5,12,3
0013476-01,36,“x”,2,12,1
0073666-78,2,“x”,2,12,0
0243370-11,3,“x”,3,12,0
9883306-77,37,“x”,9,12,2
0433649-51,48,“x”,8,12,1
0439770-51,44,“x”,6,12,0
7122224-86,2,“x”,2,12,0
1253332-11,3,“x”,3,12,1
1553692-01,48,“x”,8,12,1
7122219-69,3,“x”,3,12,1
6793431-12,2,“x”,2,12,0
0593884-11,3,“x”,3,12,0
0243370-06,3,“x”,3,12,2
8953891-85,2,“x”,2,12,1
1333195-96,3,“x”,3,12,1
7953574-34,38,“x”,3,12,2
0223720-11,4,“x”,4,12,1
0223713-46,2,“x”,2,12,0
A26NF-433,L,“x”,4,17,0
A2FS1W,8,“x”,9,17,0
A2C31-433,L,“x”,4,17,7
A2C31-100,L,“x”,4,17,2
A2Q77M,9,“x”,7,17,1
A2CZH32-433,35,“x”,8,17,0
A2QK3M,8.5,“x”,6,17,1
A2AJ1-N92,XL,“x”,5,17,0
A2QKEM,12,“x”,13,17,0
A2DFM-A58,33,“x”,6,17,0
A2BPR-100,L,“x”,4,17,3
A2H4XM,8,“x”,16,17,0
A2QKEM,9,“x”,7,17,2
