item_code,variant,variant_desctiption,variant_order,vendor,stock_quantity
06830653433M,0,TU,1,011,0
06847012745A,0,TU,1,011,2
068503643810A,0,TU,1,011,2
068595410612A,0,TU,1,011,1
068595413810A,0,TU,1,011,1
068483462035/38,0,TU,1,011,0
068432480212A,0,TU,1,011,3
06851900638A,0,TU,1,011,0
068518463823M,0,TU,1,011,0
06850453174A,0,TU,1,011,1
068404207312M,0,TU,1,011,0
068609111526,0,TU,1,011,0
06840968646A,0,TU,1,011,3
068404207318M,0,TU,1,011,0
009911910910A,0,TU,1,011,0
00977584296M,0,TU,1,011,0
06840991386A,0,TU,1,011,5
068328844223M,0,TU,1,011,1
06760319606A,0,TU,1,011,0
06840951378A,0,TU,1,011,1
068691231723M,0,TU,1,011,0
06852466388A,0,TU,1,011,1
06840986388A,0,TU,1,011,1
068519254214A,0,TU,1,011,0
06843211718A,0,TU,1,011,1
068590763212A,0,TU,1,011,0
06755582104A,0,TU,1,011,0
06851871716M,0,TU,1,011,2
06753781464A,0,TU,1,011,2
068430910912A,0,TU,1,011,4
06756381386A,0,TU,1,011,0
06847171465A,0,TU,1,011,0
067562213810A,0,TU,1,011,0
06851013413A,0,TU,1,011,1
06840958665A,0,TU,1,011,1
06753791457A,0,TU,1,011,0
1253338-46,5,XL,5,012,4
1333198-98,4,L,4,012,1
0083712-24,1,1,1,012,4
1463464-74,2,S,2,012,0
0439770-11,42,42,5,012,0
7122219-05,5,XL,5,012,10
7122219-13,5,XL,5,012,3
0013476-01,36,36,2,012,1
0073666-78,2,S,2,012,0
0243370-11,3,M,3,012,0
9883306-77,37,37,9,012,2
0433649-51,48,48,8,012,1
0439770-51,44,44,6,012,0
7122224-86,2,S,2,012,0
1253332-11,3,M,3,012,1
1553692-01,48,48,8,012,1
7122219-69,3,M,3,012,1
6793431-12,2,S,2,012,0
0593884-11,3,M,3,012,0
0243370-06,3,M,3,012,2
8953891-85,2,S,2,012,1
1333195-96,3,M,3,012,1
7953574-34,38,38,3,012,2
0223720-11,4,L,4,012,1
0223713-46,2,S,2,012,0
A26NF-433,L,L,4,017,0
A2FS1W,8,39,9,017,0
A2C31-433,L,L,4,017,7
A2C31-100,L,L,4,017,2
A2Q77M,9,43,7,017,1
A2CZH32-433,35,35,8,017,0
A2QK3M,8.5,42,6,017,1
A2AJ1-N92,XL,XL,5,017,0
A2QKEM,12,46,13,017,0
A2DFM-A58,33,33,6,017,0
A2BPR-100,L,L,4,017,3
A2H4XM,8,25,16,017,0
A2QKEM,9,43,7,017,2
A2EB4-B02,M,M,3,017,2
A41DZW,8,39,9,017,1
A2BPR-001,M,M,3,017,34
A2BYY32-433,33,33,6,017,1
A2BYY32-269,34,34,7,017,0
W2GI31KA0Q1-G6K9,M,M,7,0311,1
O1GA44KABR0-JBLK,S,S,5,0311,6
M1RI36I3Z11-G011,XL,XL,11,0311,1
AW8638MOD03-BLA,T/U,T/U,1,0311,7
FL5NIOSUE08-BLUS,40,40,11,0311,0
W1YI1BI3Z11-G011,S,S,5,0311,5
MBRI25KAVR5-G011,L,L,9,0311,3
5999596-79,4,L,4,034,3
5543618-63,2,S,2,034,0
4276604-01,95,95,6,034,1
5523245-96,4,L,4,034,4
5690994-01,90,90,5,034,0
5182603-01,4,L,4,034,1
6483503-39,95B,95B,26,034,1
6463513-29,2,S,2,034,0
4275144-34,90,90,5,034,0
6463516-57,3,M,3,034,5
5690978-99,90,90,5,034,1
4277163-99,90,90,5,034,3
7682956-01,4,L,4,034,2
4331680-99,4,L,4,034,1
2533671-96,3,M,3,034,1
6463450-59,6,XXL,6,034,2
2543693-65,2,S,2,034,0
2543694-28,5,XL,5,034,0
4463213-66,3,M,3,034,0
4753102-15,2,S,2,034,0
0873823-64,2,S,2,034,2
4343340-75,4,L,4,034,1
8697353466694,0,TU,1,035,7
8697353424243,0,TU,1,035,5
8697353463846,0,TU,1,035,0
8697353487798,0,TU,1,035,6
8697353445095,0,TU,1,035,22
8697353515354,0,TU,1,035,3
8697353553127,0,TU,1,035,3
8697353522703,0,TU,1,035,19
8697353352096,0,TU,1,035,1
8697353426667,0,TU,1,035,153
8697353513473,0,TU,1,035,3
8697353467578,0,TU,1,035,22
8697353469176,0,TU,1,035,21
8697353469794,0,TU,1,035,1
8697353489105,0,TU,1,035,2
8697353523700,0,TU,1,035,13
8697353539350,0,TU,1,035,1
8697353527029,0,TU,1,035,0
8697353390081,0,TU,1,035,45
8697353486630,0,TU,1,035,2
8697353374111,0,TU,1,035,29
8697353417160,0,TU,1,035,6
8697353521928,0,TU,1,035,20
8697353467196,0,TU,1,035,28
8697353287596,0,TU,1,035,14
8697353502095,0,TU,1,035,26
8697353539343,0,TU,1,035,1
8697353445125,0,TU,1,035,13
8697353506680,0,TU,1,035,8
8697353515330,0,TU,1,035,3
8697353501302,0,TU,1,035,43
8697353506956,0,TU,1,035,9
8697353502163,0,TU,1,035,9
8697353373923,0,TU,1,035,2
8697353469817,0,TU,1,035,2
8697353506772,0,TU,1,035,15
8697353502156,0,TU,1,035,10
8697353424236,0,TU,1,035,1
8697353493843,0,TU,1,035,1
8697353423482,0,TU,1,035,10
