name,item_code,description,retail_unite_of_meassure,regular_price,sale_price,tax_class,dimensions,color,age,brand,stock_status,vendor,product_manufacturer_code,product_cat,properties,properties_en,composition,composition_en,components,components_en,collectionn,ordering,origine,images,tag,tae
Atlete Timberland Delphiville,A219CW,DelphivilleTextileSneaker,COP,99,69.3,18,,FFFFFF,Grua,TIMBERLAND,,17,A219CW,Këpucë-Atlete,Atlete me lëkurë sintetike dhe material të qëndrueshëm ReBOTL që përmban së paku 50% plastikë të recikluar. Ka shtresë me densitet të dyfishtë dhe teknologji OrthoLite,Upper made with synthetic leather and durable ReBOTL fabric containing at least 50% recycled plastic  Durable ReBOTL fabric lining made with at least 50% recycled plastic  Dual-density lightweight EVA midsole cushioning  Lightweight and breathable OrthoLi,"Lëkurë sintetike, materiale ReBOTL",Upper made with ReBOTL fabric and synthetic leather  100% PET laces  ReBOTL fabric lining,,,4,10,VN,http://46.99.130.129:60000/_uploads/photos/A219CW_1.jpg,,
Atlete Adventure 2,A2QKEM,ADV 2.0 GREEN KNIT OX NVY,COP,99,69.3,18,,090A24,Burrë,TIMBERLAND,,17,A2QKEM,Këpucë-Atlete,"Atlete nga Timberland me stil për mbathje të përditshme, kanë kualitet të lartë dhe janë të qëndrueshme. Përbëhen nga materiale të recikluara dhe komoditeti është i siguruar!",Upper and lining in ReBOTL fabric containing at least 50% recycled plastic . Synthetic leather side panels . 100% recycled PET laces . EVA-blend foam footbed for cushioning . Rubber outsole for grip,Përbëhen nga së paku 50% materiale të recikluara,At least 50% recycled plastic,,,4,10,KH,http://46.99.130.129:60000/_uploads/photos/A2QKEM_1.jpg,,
Atlete Adventure 2,A2QK3M,ADV 2.0 GREEN KNIT OX OLV,COP,99,69.3,18,,5C4949,Burrë,TIMBERLAND,,17,A2QK3M,Këpucë-Atlete,"Atlete nga Timberland me stil për mbathje të përditshme, kanë kualitet të lartë dhe janë të qëndrueshme. Përbëhen nga materiale të recikluara dhe komoditeti është i siguruar!",Upper and lining in ReBOTL fabric containing at least 50% recycled plastic . Synthetic leather side panels . 100% recycled PET laces . EVA-blend foam footbed for cushioning . Rubber outsole for grip,Përbëhen nga së paku 50% materiale të recikluara,At least 50% recycled plastic,,,4,10,KH,http://46.99.130.129:60000/_uploads/photos/A2QK3M_1.jpg,,
Atlete Adventure 2,A2QJRM,ADVENTURE 2.0,COP,99,69.3,18,,FFFFFF,Burrë,TIMBERLAND,,17,A2QJRM,Këpucë-Atlete,"Atlete me së paku 50% plastikë të recikluar, dhe panele anësore sintetike. Gjithashtu edhe lidhëset kanë përmbajtje poliesteri 100% të recikluar","Textil, Rubber and recycled materials","Tekstil, gomë dhe materiale të recikluara","Textil, Rubber and recycled materials",,,4,10,KH,http://46.99.130.129:60000/_uploads/photos/A2QJRM_1.jpg,,
Xhinse Denim,A2C9B32-A11,Sq-L core indigo denim MID INDIGO,COP,89,71.2,18,,276BA9,Burrë,TIMBERLAND,,17,A2C9B32,Veshje-Xhinse,"Xhinse denim, me 5 xhepa. Mbërthehen me buton dhe zinxhir. Kanë logo të vendosur në pjesën e pasme të belit.","Denim jeans, with 5 pockets. Fastened with button and chain. They have a logo placed on the back of the waist.","98% pambuk organik, 2% elastan","98% Organic cotton, 2% elastane",,,1,2,IN,http://46.99.130.129:60000/_uploads/photos/A2C9B32-A11_1.jpg,,
Sandale me rripa,A427RM,CASTLE ISLAND 2STRP MDPNK,COP,49,24.5,18,,F28383,Fëmijë (Vajzë),TIMBERLAND,,17,A427RM,Këpucë-Sandale,Sandale që shtrëngohen me dy rripa dhe përmbajnë lëkurë sintetike me peshë të lehtë,Lightweight synthetic leather upper that's safe to get wet  Backstrap and two front straps with adjustable buckle closures  Midsole of compression-molded EVA-blend foam for cushioning  Rubber outsole for grip,"Lëkurë sintetike, shtresë EVA",Lightweight and water-friendly synthetic leather upper  Adjustable buckle closure  Compression-molded EVA midsole  Rubber outsole,,,4,10,KH,http://46.99.130.129:60000/_uploads/photos/A427RM_1.jpg,,
Këpucë me lidhëse,A2QGXM,ATLNBRKF/LBOATLTBEI/DKBRN,COP,149,104.3,18,,E3DEDE-AE7045,Burrë,TIMBERLAND,,17,A2QGXM,Këpucë-Këpucë,Këpucë me lidhëse dhe përmbajtje të lëkurës së krijuar nga praktikat moderne ekologjike. Ka logo Timberland dhe lidhëse të lëkurës për stil autentik. Po ashtu siguron shtresë të rehatshme të këmbës,"Upper made with premium nubuck Better Leather from a sustainable tannery rated Silver for its water, energy and waste management practices, and fabric  Traditional, handsewn construction for genuine Timberland quality and authenticity  Leather laces for a","Lëkurë, lidhëse të lëkurës, shtresë EVA",Upper made with Better Leather from an LWG Silver-rated tannery and fabric  Traditional handsewn construction  Leather laces  EVA midsole  Rubber outsole  Foam comfort footbed,,,4,10,PT,http://46.99.130.129:60000/_uploads/photos/A2QGXM_1.jpg,,
Atlete shumëngjyrëshe Timberland Garrison,A2AR8M,GARRISON TRL LOW WP WHI,COP,129,64.5,18,,808080-3AAEDB-000000-D86E6E,Grua,TIMBERLAND,,17,A2AR8M,Këpucë-Atlete,"Atlete me shtresë të jashtme kamoshi që është rezistente ndaj ujit dhe lëkurë Better Leather që bëhet nga praktikat moderne ekologjike. Ka material ReBOTL që përmban të paktën 50% plastikë të recikluar, membramë rezistente ndaj ujit TimberDry dhe teknolog","Upper made with waterproof suede Better Leather from a sustainable tannery rated Silver for its water, energy, and waste management practices, and ReBOTL fabric containing at least 50% recycled plastic  TimberDry waterproof membrane made with 50% recycled","Lëkurë Better Leather, material ReBOTL, shtresë EVA, gomë",TimberDry waterproof membrane  Upper made with waterproof Better Leather from an LWG Silver-rated tannery and ReBOTL fabric  Toe bumper and heel piece made from climbing rubber  ReBOTL fabric lining  Compression-molded EVA midsole  Rubber lug outsole  Tim,,,4,10,VN,http://46.99.130.129:60000/_uploads/photos/A2AR8M_1.jpg,,
Atlete Timberland Truecloud EK+,A24H6M,TrueCloud EK+ KnitChkka,COP,129,64.5,18,,D8D2D2,Burrë,TIMBERLAND,,17,A24H6M,Këpucë-Atlete,Atlete me shtresë Tencel dhe fibra me teknologji Refibra,Upper material made with Tencel Lyocell fibers with Refibra technology  Ground-contact EVA midsole  Rubber outsole  Foam comfort footbed,"Fibra tençeli, shtresë EVA, gomë",Upper material made with Tencel Lyocell fibers with Refibra technology  Ground-contact EVA midsole  Rubber outsole  Foam comfort footbed,,,4,10,PH,http://46.99.130.129:60000/_uploads/photos/A24H6M_1.jpg,,
T bluzë me logo,A26N4-033,Basic Polo CASTLEROCK,COP,64,51.2,18,,646060,Burrë,TIMBERLAND,,17,A26N4,Veshje-T bluzë,"T bluzë polo, ideale për t?u dukur bukur gjatë ditëve të ngrohta.","Our Millers River pique polo shirts are casual but polished ? the perfect shirt for looking good in warmer weather. And because we're committed to responsible sourcing, they're made with organically grown cotton.",Me material 100% pambuk organik. Logo të qëndisur në pjesën e gjoksit. Regular fit.,"""Made with 100% organic cotton Embroidered Timberland tree logo on the chest Contrasting back-neck piping Centre back length: 70.5 cm / 27.75"""" Regular fit""",,,1,4,TR,http://46.99.130.129:60000/_uploads/photos/A26N4-033_1.jpg,,
